Row_Id,Date of Update,Tax Year,County,Number of Returns,Total Number of Exemptions (thousands of dollars),Total Adjusted Gross Income (thousands of dollars),Total Oregon Adjustments: Additions (thousands of dollars),Total Oregon Adjustments: Federal Tax Subtraction (thousands of dollars),Total Oregon Adjustments: Other Subtractions (thousands of dollars),Total Deductions (thousands of dollars),Total Taxable Income (thousands of dollars),Total Gross Tax (thousands of dollars),Total Credits (thousands of dollars),Total Net Tax (thousands of dollars),Average Number of Exemptions,Average Adjusted Gross Income (dollars),Average Oregon Adjustments: Additions (dollars),Average Oregon Adjustments: Federal Tax Subtraction (dollars),Average Oregon Adjustments: Other Subtractions (dollars),Average Deductions (dollars),Average Taxable Income (dollars),Average Gross Tax (dollars),Average Credits (dollars),Average Net Tax (dollars),Tax as Percent of AGI (%),Tax as Percent of Taxable Income (%),Return Type: Single (Number),Return Type: Single (%),Return Type: Joint (Number),Return Type: Joint  (%),Return Type: Separate (Number),Return Type: Separate (%),Return Type: Head Household (Number),Return Type: Head Household (%),Return Type: Itemized (Number),Return Type: Itemized (%),"Return Type: 
Full-Year 
(Number)","Return Type: 
Full-Year 
(%)",Return Type: Part-Year (Number),Return Type: Part-Year (%),Return Type: Nonresident (Number),Return Type: Nonresident (%),Full Year Returns: Number of Returns,Full Year Returns: Total Adjusted Gross Income (thousands of dollars),"Full Year Returns: Total Wages, Salaries, Tips (thousands of dollars)",Full Year Returns: Total Taxable Dividends and Interest (thousands of dollars),Full Year Returns: Total Business Income (thousands of dollars),Full Year Returns: Total Capital Gains (thousands of dollars),Full Year Returns: Total Taxable Pensions (thousands of dollars),"Full Year Returns: Total Schedule E Income (thousands of dollars, this includes: rental real estate, royalties, partnerships, S corporations, and trusts)",Full Year Returns: Total Farm Income (thousands of dollars),"Full Year Returns: Total All Other Income (thousands of dollars, this includes: taxable state income tax refunds, alimony received, unemployment compensation, and other income)",Full Year Returns: Total Adjustments (thousands of dollars),Exception Notes
45,"Jul 01, 2007",2005,Clackamas,156683,322829,9991371,33695,346424,387282,1769975,7689050,652702,57055,596619,2.1,63768,215,2211,2472,11297,49074,4166,364,3808,0.06,0.078,66532,0.425,73941,0.472,2025,0.013,14095,0.09,89844,0.573,152892,0.976,3230,0.021,561,0.004,152892,9880157,6608861,413733,405343,790945,956194,800714,-28363,111355,178626,
46,"Jul 01, 2007",2005,Clark Co WA,60134,146680,2458579,3372,98311,50941,400529,1956443,160632,15826,145010,2.4,40885,56,1635,847,6661,32535,2671,263,2412,0.059,0.074,19586,0.326,33958,0.565,762,0.013,5812,0.097,37130,0.617,2131,0.035,2965,0.049,55038,0.915,2131,115423,81626,7298,2148,8080,6490,8522,-6,2336,1071,
47,"Jul 01, 2007",2005,Clatsop,15078,29057,637332,1405,26519,38990,116706,469296,38701,4857,33923,1.9,42269,93,1759,2586,7740,31125,2567,322,2250,0.053,0.072,6867,0.455,6502,0.431,228,0.015,1477,0.098,7180,0.476,14565,0.966,363,0.024,150,0.01,14565,628639,373986,27829,35270,49811,98258,52848,-1573,6890,14681,
48,"Jul 01, 2007",2005,Columbia,19609,41999,937356,1242,41861,39562,166395,703163,58191,6743,51550,2.1,47802,63,2135,2018,8486,35859,2968,344,2629,0.055,0.073,7478,0.381,9969,0.508,232,0.012,1919,0.098,11068,0.564,19171,0.978,370,0.019,68,0.003,19171,927226,701826,23161,20364,48494,114308,28713,-5002,7172,11809,
49,"Jul 01, 2007",2005,Coos,25213,49613,968641,5193,41314,64422,173575,721870,58998,8087,51079,2,38418,206,1639,2555,6884,28631,2340,321,2026,0.053,0.071,10585,0.42,11731,0.465,366,0.015,2517,0.1,11589,0.46,24471,0.971,571,0.023,171,0.007,24471,957163,582987,45257,60762,77101,164712,47675,-5455,5981,21857,
50,"Jul 01, 2007",2005,Crook,8466,17799,401416,1464,14785,20745,71469,308371,25655,2959,22752,2.1,47415,173,1746,2450,8442,36425,3030,350,2688,0.057,0.074,3033,0.358,4482,0.529,134,0.016,814,0.096,4400,0.52,8263,0.976,170,0.02,33,0.004,8263,398572,221872,20882,17536,44024,54043,51735,-8236,3271,6557,
51,"Jul 01, 2007",2005,Curry,9673,18359,390997,1635,15391,31250,78496,281021,23103,3101,20055,1.9,40422,169,1591,3231,8115,29052,2388,321,2073,0.051,0.071,4026,0.416,4708,0.487,131,0.014,798,0.082,4662,0.482,9260,0.957,328,0.034,85,0.009,9260,383184,174789,28016,19426,54647,83699,28988,-1698,2864,7547,
52,"Jul 01, 2007",2005,Deschutes,64086,127191,3429297,17019,119946,160464,649639,2597390,218364,22834,196093,2,53511,266,1872,2504,10137,40530,3407,356,3060,0.057,0.075,27334,0.427,30228,0.472,963,0.015,5526,0.086,35520,0.554,61041,0.952,2659,0.041,386,0.006,61041,3363296,1838241,176391,204548,430461,421289,384485,-21327,14471,85263,
53,"Jul 01, 2007",2005,Douglas,42592,86801,1728666,5424,71342,102254,308436,1290023,105724,14729,91207,2,40587,127,1675,2401,7242,30288,2482,346,2141,0.053,0.071,16596,0.39,20791,0.488,584,0.014,4604,0.108,19452,0.457,41499,0.974,954,0.022,139,0.003,41499,1712747,1085707,74651,64655,179116,266378,65222,-14543,17987,26427,
54,"Jul 01, 2007",2005,Gilliam,777,1517,28488,82,1375,2055,4953,21494,1750,233,1518,2,36664,105,1770,2645,6374,27663,2253,300,1954,0.053,0.071,314,0.404,387,0.498,20,0.026,56,0.072,349,0.449,765,0.985,10,0.013,2,0.003,765,28184,18775,1622,607,2191,4225,1960,-273,-252,672,
55,"Jul 01, 2007",2005,Grant,3017,5929,108264,427,4727,7296,19492,83652,6834,947,5898,2,35885,142,1567,2418,6461,27727,2265,314,1955,0.054,0.071,1248,0.414,1520,0.504,26,0.009,222,0.074,1357,0.45,2958,0.98,51,0.017,8,0.003,2958,107450,70224,5765,2264,12014,17453,8290,-4774,-1800,1985,
56,"Jul 01, 2007",2005,Harney,2864,5916,87363,131,4060,5330,17180,69461,5584,920,4677,2.1,30504,46,1418,1861,5998,24253,1950,321,1633,0.054,0.067,1112,0.388,1468,0.513,26,0.009,257,0.09,1196,0.418,2792,0.975,63,0.022,9,0.003,2792,86065,67485,3906,1474,11179,13638,1729,-7546,-4096,1704,
57,"Jul 01, 2007",2005,Hood River,9034,19568,377995,1290,14536,17596,69146,287928,23692,3715,20060,2.2,41841,143,1609,1948,7654,31872,2623,411,2220,0.053,0.07,3692,0.409,4228,0.468,88,0.01,1016,0.112,4142,0.458,8729,0.966,238,0.026,67,0.007,8729,371421,240428,20200,20051,27534,42514,28615,-1077,2272,9117,
58,"Jul 01, 2007",2005,Idaho,10549,24498,248420,499,9146,7965,44326,200365,15924,2151,13803,2.3,23549,47,867,755,4202,18994,1510,204,1309,0.056,0.069,3673,0.348,5837,0.553,101,0.01,933,0.088,5442,0.516,874,0.083,1661,0.157,8014,0.76,874,25923,17970,1153,678,2989,2745,850,15,142,619,
59,"Jul 01, 2007",2005,Jackson,83214,164681,3830895,15116,142097,212333,776399,2832166,235071,28264,207582,2,46037,182,1708,2552,9330,34035,2825,340,2495,0.054,0.073,36207,0.435,36733,0.441,1184,0.014,9051,0.109,41726,0.501,80614,0.969,2254,0.027,346,0.004,80614,3781185,2235775,201065,219911,356929,515792,314631,-15151,33282,81050,
60,"Jul 01, 2007",2005,Jefferson,8229,18205,304612,632,12685,34970,59612,209823,16972,2785,14270,2.2,37017,77,1541,4250,7244,25498,2063,338,1734,0.047,0.068,2925,0.355,3937,0.478,100,0.012,1264,0.154,3741,0.455,8022,0.975,181,0.022,26,0.003,8022,302154,203421,11456,9208,21505,47658,13829,-2848,2716,4792,
61,"Jul 01, 2007",2005,Josephine,32360,64812,1284526,4925,49128,83472,254710,934453,76515,11757,64971,2,39695,152,1518,2580,7871,28877,2365,363,2008,0.051,0.07,13121,0.405,15426,0.477,467,0.014,3336,0.103,15895,0.491,31359,0.969,866,0.027,135,0.004,31359,1265820,698475,70382,69991,110105,221453,111395,-4966,15901,26916,
62,"Jul 01, 2007",2005,Klamath,25599,53127,1016167,4488,41600,59710,186698,770798,63139,8576,54758,2.1,39696,175,1625,2333,7293,30111,2467,335,2139,0.054,0.071,10116,0.395,12230,0.478,338,0.013,2902,0.113,11565,0.452,24696,0.965,711,0.028,192,0.008,24696,1000015,671020,45288,35220,98118,146207,44791,-14338,-8153,18138,
63,"Jul 01, 2007",2005,Lake,3001,6057,98883,108,4439,6657,17947,75256,6071,958,5119,2,32950,36,1479,2218,5980,25077,2023,319,1706,0.052,0.068,1188,0.396,1526,0.508,39,0.013,244,0.081,1170,0.39,2895,0.965,64,0.021,42,0.014,2895,97090,65955,4274,2270,9735,16426,4032,-1542,-1882,2178,
64,"Jul 01, 2007",2005,Lane,142049,271826,6594727,23134,258355,312472,1150950,5018961,417790,47810,371146,1.9,46426,163,1819,2200,8103,35333,2941,337,2613,0.056,0.074,66264,0.466,59678,0.42,1847,0.013,14175,0.1,69117,0.487,137662,0.969,3599,0.025,788,0.006,137662,6516246,4176738,310596,241494,559863,810968,490911,-11222,59331,122434,
65,"Jul 01, 2007",2005,Lincoln,19061,35839,784967,2326,32806,58806,155844,560377,46042,6139,40044,1.9,41182,122,1721,3085,8176,29399,2416,322,2101,0.051,0.071,8435,0.443,8432,0.442,301,0.016,1884,0.099,9584,0.503,18363,0.963,594,0.031,104,0.005,18363,773646,419840,42032,53582,64030,155619,49994,-2663,8523,17310,
66,"Jul 01, 2007",2005,Linn,44253,93112,1828935,4601,79591,88613,332745,1365759,111876,15557,96618,2.1,41329,104,1799,2002,7519,30863,2528,352,2183,0.053,0.071,17617,0.398,21325,0.482,605,0.014,4681,0.106,21953,0.496,43355,0.98,775,0.018,123,0.003,43355,1816027,1296776,61362,51528,81828,228365,102538,-3370,23633,26633,
67,"Jul 01, 2007",2005,Malheur,9644,22165,320620,1249,12861,17633,65248,252019,20299,5424,14977,2.3,33246,130,1334,1828,6766,26132,2105,562,1553,0.047,0.059,3393,0.352,4760,0.494,103,0.011,1380,0.143,3907,0.405,9258,0.96,270,0.028,116,0.012,9258,316012,217961,14846,14543,29018,44652,16454,-7879,-7130,6452,
68,"Jul 01, 2007",2005,Marion,118502,257742,5245008,12239,209737,252466,967256,3963246,326861,44329,283849,2.2,44261,103,1770,2131,8162,33445,2758,374,2395,0.054,0.072,48871,0.412,51554,0.435,1547,0.013,16468,0.139,58049,0.49,116025,0.979,2104,0.018,373,0.003,116025,5203686,3547049,210035,171335,308005,695696,322944,-8057,35491,78812,
69,"Jul 01, 2007",2005,Morrow,3999,9928,139961,246,6011,6881,24784,110177,8876,1646,7262,2.5,34999,62,1503,1721,6198,27551,2220,412,1816,0.052,0.066,1311,0.328,2024,0.506,51,0.013,611,0.153,1646,0.412,3898,0.975,85,0.021,16,0.004,3898,138414,110513,3992,2872,6182,15190,6093,-377,-3613,2438,
70,"Jul 01, 2007",2005,Multnomah,299612,550720,15477961,43279,601039,570042,2724880,11994967,1010038,100523,912036,1.8,51660,145,2006,1903,9095,40035,3371,336,3044,0.059,0.076,160446,0.536,102934,0.344,4160,0.014,31925,0.107,149343,0.498,288014,0.961,9870,0.033,1728,0.006,288014,15198749,10643166,659577,666350,1176293,1316153,983445,-5159,45067,286143,
71,"Jul 01, 2007",2005,Other,49439,95090,1349229,9229,39092,124385,246277,1192699,99610,10421,89296,1.9,27291,187,791,2516,4981,24125,2015,211,1806,0.066,0.075,23595,0.477,21882,0.443,1498,0.03,2445,0.049,22578,0.457,10037,0.203,15186,0.307,24216,0.49,10037,407424,253942,38320,1956,76650,37789,18440,-469,-12472,6731,
72,"Jul 01, 2007",2005,Other Washington,28075,60570,781464,4331,26373,45913,123913,727416,60186,4575,55675,2.2,27835,154,939,1635,4414,25910,2144,163,1983,0.071,0.077,11103,0.395,14395,0.513,444,0.016,2122,0.076,14339,0.511,2923,0.104,5053,0.18,20099,0.716,2923,102950,64065,6960,2654,12328,13531,3937,-115,1215,1624,
73,"Jul 01, 2007",2005,Polk,27638,59341,1310701,2929,53038,72829,259124,952685,78796,9802,69204,2.1,47424,106,1919,2635,9376,34470,2851,355,2504,0.053,0.073,10783,0.39,13634,0.493,352,0.013,2855,0.103,15178,0.549,26906,0.974,645,0.023,87,0.003,26906,1295905,861821,52085,45640,97692,197953,55925,-8573,14303,20942,
74,"Jul 01, 2007",2005,Sherman,739,1464,26670,89,1215,1656,4443,20324,1654,229,1427,2,36090,121,1645,2241,6012,27502,2239,310,1931,0.054,0.07,318,0.43,351,0.475,14,0.019,56,0.076,288,0.39,724,0.98,10,0.014,5,0.007,724,26503,14630,1312,770,2106,3807,3413,1824,-323,1036,
75,"Jul 01, 2007",2005,Tillamook,10734,21224,428553,1068,17980,29326,86653,307951,25180,3452,21781,2,39925,100,1675,2732,8073,28689,2346,322,2029,0.051,0.071,4495,0.419,5137,0.479,142,0.013,955,0.089,5379,0.501,10450,0.974,239,0.022,45,0.004,10450,423594,246504,21723,21174,38386,81240,20285,-924,5267,10063,
76,"Jul 01, 2007",2005,Umatilla,26781,59846,1014607,1846,44489,62762,170036,781314,63559,10413,53465,2.2,37885,69,1661,2344,6349,29174,2373,389,1996,0.053,0.068,10111,0.378,12218,0.456,373,0.014,4062,0.152,11365,0.424,26089,0.974,563,0.021,129,0.005,26089,1002988,760380,30043,35293,38287,124380,46104,-8140,-5372,17987,
77,"Jul 01, 2007",2005,Union,10429,21433,405761,973,17438,22877,69955,309629,25353,3934,21488,2.1,38907,93,1672,2194,6708,29689,2431,377,2060,0.053,0.069,4272,0.41,5187,0.497,114,0.011,853,0.082,4915,0.471,10161,0.974,216,0.021,52,0.005,10161,400802,274770,15886,17036,26697,57295,25595,-8183,-18,8275,
78,"Jul 01, 2007",2005,Wallowa,3125,6060,113869,378,4818,7788,21606,87088,7117,1055,6074,1.9,36438,121,1542,2492,6914,27868,2277,338,1944,0.053,0.07,1294,0.414,1607,0.514,29,0.009,194,0.062,1547,0.495,3046,0.975,61,0.02,18,0.006,3046,114223,61659,8970,6601,15533,20373,9137,-2713,-1586,3750,
79,"Jul 01, 2007",2005,Wasco,9390,19300,365296,908,15200,23192,68407,271279,22152,3318,18900,2.1,38903,97,1619,2470,7285,28890,2359,353,2013,0.052,0.07,3806,0.405,4408,0.469,101,0.011,1070,0.114,4553,0.485,9187,0.978,158,0.017,45,0.005,9187,361585,231656,17084,14365,25196,57732,21934,-2139,3373,7617,
80,"Jul 01, 2007",2005,Washington,211601,442882,13921280,30647,476552,421051,2075149,11149739,949933,81186,870500,2.1,65790,145,2252,1990,9807,52692,4489,384,4114,0.063,0.078,93073,0.44,94026,0.444,2741,0.013,21655,0.102,114244,0.54,203417,0.961,7075,0.033,1109,0.005,203417,13688016,9280967,559149,431099,1869492,954491,691609,-11215,114299,201876,
81,"Jul 01, 2007",2005,Wheeler,512,1061,16096,73,772,1672,3829,12321,992,144,848,2.1,31437,144,1507,3265,7479,24065,1938,282,1656,0.053,0.069,174,0.34,306,0.598,5,0.01,27,0.053,246,0.48,505,0.986,6,0.012,1,0.002,505,15958,10180,1316,527,2027,3942,1255,-1187,-1749,353,
82,"Jul 01, 2007",2005,Yamhill,36130,78764,1880526,7598,68061,77426,326738,1448871,121166,13531,107913,2.2,52049,210,1884,2143,9043,40102,3354,375,2987,0.057,0.074,14115,0.391,17478,0.484,505,0.014,4005,0.111,18928,0.524,35310,0.977,705,0.02,115,0.003,35310,1865288,1219985,83592,63671,184330,186883,146931,-10219,20311,30195,
83,"Jul 01, 2008",2006,Baker,6498,12896,247319,1150,10821,19109,44446,183675,14958,2401,12644,2,38061,177,1665,2941,6840,28266,2302,370,1946,0.051,0.069,2680,0.412,3214,0.495,85,0.013,516,0.079,3012,0.464,6301,0.97,164,0.025,33,0.005,6301,243888,143166,16082,6298,35413,45517,11927,-6702,-2950,4864,
84,"Jul 01, 2008",2006,Benton,34309,64330,2013777,7862,77337,102126,306187,1559905,131950,13128,119065,1.9,58695,229,2254,2977,8924,45466,3846,383,3470,0.059,0.076,16740,0.488,14884,0.434,426,0.012,2250,0.066,16946,0.494,32875,0.958,989,0.029,445,0.013,32875,1987235,1234934,114435,66569,240532,263099,85338,-5118,19924,32478,
85,"Jul 01, 2008",2006,California,26622,52763,915042,9143,19077,46607,162301,813400,69352,36059,33399,2,34372,344,717,1751,6097,30554,2605,1355,1255,0.037,0.041,12060,0.453,12274,0.461,711,0.027,1565,0.059,14616,0.549,4123,0.155,5137,0.193,17362,0.652,4123,250180,111911,24276,5085,78288,21030,12666,-483,625,3218,
86,"Jul 01, 2008",2006,Clackamas,160699,327918,11029590,42470,389312,442600,1983754,8447664,718779,60649,659604,2,68635,264,2423,2754,12345,52568,4473,377,4105,0.06,0.078,69214,0.431,74753,0.465,2065,0.013,14570,0.091,91347,0.568,157072,0.977,3069,0.019,558,0.003,157072,10920781,7065015,551083,424366,1003139,1052821,917100,-33744,129973,188973,
87,"Jul 01, 2008",2006,Clark Co WA,58030,139594,2403368,3856,100712,51718,420023,1881636,153955,15428,138882,2.4,41416,66,1736,891,7238,32425,2653,266,2393,0.058,0.074,19662,0.339,31868,0.549,703,0.012,5774,0.1,34844,0.6,2122,0.037,2650,0.046,53258,0.918,2122,88397,61790,5677,1418,6244,7524,5144,-16,1654,1039,
88,"Jul 01, 2008",2006,Clatsop,15493,29967,682057,1644,29606,42797,126012,498777,41134,5232,36076,1.9,44024,106,1911,2762,8134,32194,2655,338,2329,0.053,0.072,7006,0.452,6658,0.43,228,0.015,1597,0.103,7407,0.478,14931,0.964,403,0.026,159,0.01,14931,671846,395344,34910,35918,54322,108778,51956,-1932,7875,15325,
89,"Jul 01, 2008",2006,Columbia,20248,43224,1023280,1594,47763,46463,183961,758958,62865,7248,55827,2.1,50537,79,2359,2295,9085,37483,3105,358,2757,0.055,0.074,7814,0.386,10219,0.505,246,0.012,1961,0.097,11477,0.567,19807,0.978,361,0.018,80,0.004,19807,1012888,753928,32360,24382,52171,125657,27833,-5536,14832,12738,
90,"Jul 01, 2008",2006,Coos,25714,50061,1029108,3292,45592,71599,189825,760482,62198,8519,53981,1.9,40021,128,1773,2784,7382,29575,2419,331,2099,0.052,0.071,10888,0.423,11726,0.456,392,0.015,2697,0.105,11834,0.46,24995,0.972,566,0.022,153,0.006,24995,1018786,611925,58652,56738,87545,178628,45732,-5143,6700,21991,
91,"Jul 01, 2008",2006,Crook,8709,18154,440418,2660,16965,23437,82093,337053,28103,3332,24879,2.1,50570,305,1948,2691,9426,38702,3227,383,2857,0.056,0.074,3163,0.363,4541,0.521,147,0.017,856,0.098,4607,0.529,8500,0.976,186,0.021,23,0.003,8500,436307,241362,30078,16434,47628,61398,52681,-10957,4788,7105,
92,"Jul 01, 2008",2006,Curry,9696,18355,395124,2004,16995,34489,85479,276003,22586,3254,19421,1.9,40751,207,1753,3557,8816,28466,2329,336,2003,0.049,0.07,4046,0.417,4687,0.483,142,0.015,815,0.084,4743,0.489,9311,0.96,281,0.029,104,0.011,9311,388469,183217,35207,18465,44525,91145,20365,-1224,4198,7428,
93,"Jul 01, 2008",2006,Deschutes,67325,132774,3949784,21613,137622,185353,781382,2980994,251666,25690,226894,2,58667,321,2044,2753,11606,44278,3738,382,3370,0.057,0.076,29166,0.433,31184,0.463,994,0.015,5952,0.088,37117,0.551,64508,0.958,2417,0.036,400,0.006,64508,3875534,2053352,232281,217430,610708,465508,390047,-21562,14964,87194,
94,"Jul 01, 2008",2006,Douglas,43434,88214,1797783,7055,78309,116652,335875,1321112,108008,15737,92774,2,41391,162,1803,2686,7733,30417,2487,362,2136,0.052,0.07,16998,0.391,21018,0.484,640,0.015,4756,0.109,20129,0.463,42488,0.978,824,0.019,122,0.003,42488,1780797,1132620,97144,61907,197392,292286,22513,-16267,19949,26747,
95,"Jul 01, 2008",2006,Gilliam,806,1545,29906,84,1578,2234,5071,23027,1880,250,1635,1.9,37105,105,1958,2772,6292,28569,2332,310,2028,0.055,0.071,341,0.423,390,0.484,14,0.017,60,0.074,373,0.463,793,0.984,11,0.014,2,0.002,793,29671,20022,1731,619,1727,4770,2210,-535,-291,582,
96,"Jul 01, 2008",2006,Grant,3048,5915,120300,390,5267,7931,20957,94903,7808,1170,6667,1.9,39469,128,1728,2602,6876,31136,2562,384,2187,0.055,0.07,1247,0.409,1531,0.502,38,0.012,230,0.075,1393,0.457,2971,0.975,66,0.022,11,0.004,2971,119135,74414,7095,3468,19086,18482,6396,-5546,-2136,2126,
97,"Jul 01, 2008",2006,Harney,2904,5958,91948,143,4482,6417,19020,70849,5687,979,4741,2.1,31662,49,1543,2210,6550,24397,1958,337,1633,0.052,0.067,1142,0.393,1487,0.512,22,0.008,252,0.087,1280,0.441,2844,0.979,57,0.02,3,0.001,2844,90623,69100,5136,2309,11361,14718,2546,-7784,-5005,1757,
98,"Jul 01, 2008",2006,Hood River,9283,19907,427373,1695,16708,21816,75858,325409,26924,3988,23058,2.1,46038,183,1800,2350,8172,35054,2900,430,2484,0.054,0.071,3902,0.42,4280,0.461,93,0.01,1003,0.108,4291,0.462,8964,0.966,246,0.027,73,0.008,8964,419681,262753,26729,21404,39578,47131,32656,-2299,1452,9723,
99,"Jul 01, 2008",2006,Idaho,10652,24875,266493,639,10141,6914,46318,220101,17639,2285,15418,2.3,25018,60,952,649,4348,20663,1656,215,1447,0.058,0.07,3639,0.342,5933,0.557,90,0.008,987,0.093,5510,0.517,827,0.078,1646,0.155,8179,0.768,827,29154,18731,1544,973,3611,2769,1730,-121,433,516,
100,"Jul 01, 2008",2006,Jackson,85328,168317,4151666,18208,156521,235926,846674,3040236,252728,30124,223968,2,48655,213,1834,2765,9923,35630,2962,353,2625,0.054,0.074,37355,0.438,37163,0.436,1271,0.015,9503,0.111,42808,0.502,82810,0.97,2199,0.026,319,0.004,82810,4094372,2351587,260373,195992,369547,571018,264979,-19044,181343,81423,
101,"Jul 01, 2008",2006,Jefferson,8768,19322,343127,657,14650,39336,67633,235761,19145,3085,16238,2.2,39134,75,1671,4486,7714,26889,2184,352,1852,0.047,0.069,3191,0.364,4054,0.462,120,0.014,1400,0.16,3966,0.452,8583,0.979,162,0.018,23,0.003,8583,340853,227149,15265,9387,29005,53773,12886,-3414,1961,5159,
102,"Jul 01, 2008",2006,Josephine,33118,65936,1327409,5718,54052,94349,282851,941839,76828,11552,65758,2,40081,173,1632,2849,8541,28439,2320,349,1986,0.05,0.07,13542,0.409,15591,0.471,495,0.015,3479,0.105,16430,0.496,32179,0.972,791,0.024,148,0.004,32179,1311682,734584,88823,65234,92114,245281,98946,-4729,18224,26793,
103,"Jul 01, 2008",2006,Klamath,26270,54345,1091595,4210,46714,69408,212932,811263,66460,9059,57771,2.1,41553,160,1778,2642,8106,30882,2530,345,2199,0.053,0.071,10443,0.398,12444,0.474,331,0.013,3043,0.116,11946,0.455,25417,0.968,670,0.026,183,0.007,25417,1075794,718011,53915,32618,94144,162970,46066,-12792,-967,18171,
104,"Jul 01, 2008",2006,Lake,3046,6166,104754,239,4930,7797,18741,80805,6537,1018,5547,2,34391,79,1619,2560,6153,26528,2146,334,1821,0.053,0.069,1218,0.4,1544,0.507,37,0.012,245,0.08,1194,0.392,2946,0.967,64,0.021,36,0.012,2946,102435,69775,5210,3130,10939,17711,2815,-2755,-2361,2028,
105,"Jul 01, 2008",2006,Lane,145787,277570,7152646,26335,287856,353451,1251138,5415405,450633,52337,400146,1.9,49062,181,1975,2424,8582,37146,3091,359,2745,0.056,0.074,68670,0.471,60336,0.414,1970,0.014,14743,0.101,70753,0.485,141455,0.97,3546,0.024,786,0.005,141455,7061752,4427154,398599,242695,642776,889807,522177,-11412,77376,127419,
106,"Jul 01, 2008",2006,Lincoln,19581,36474,872214,2847,36809,65663,176040,619756,51126,6578,44794,1.9,44544,145,1880,3353,8990,31651,2611,336,2288,0.051,0.072,8793,0.449,8502,0.434,277,0.014,1999,0.102,9858,0.503,18938,0.967,533,0.027,110,0.006,18938,861682,450388,52420,52750,89524,167167,56225,-2440,13697,18048,
107,"Jul 01, 2008",2006,Linn,45837,96356,1991366,5228,89982,100460,362124,1480557,121439,16929,105082,2.1,43445,114,1963,2192,7900,32301,2649,369,2293,0.053,0.071,18379,0.401,21822,0.476,643,0.014,4959,0.108,22887,0.499,44843,0.978,865,0.019,129,0.003,44843,1974900,1386708,75672,54629,104312,253486,109259,-5102,24496,28558,
108,"Jul 01, 2008",2006,Malheur,10062,22812,348919,1318,14708,20336,62556,272538,21989,5472,16723,2.3,34677,131,1462,2021,6217,27086,2185,544,1662,0.048,0.061,3636,0.361,4835,0.481,118,0.012,1466,0.146,3999,0.397,9641,0.958,293,0.029,128,0.013,9641,343372,232887,17513,15235,32222,50136,20729,-9650,-8782,6918,
109,"Jul 01, 2008",2006,Marion,122513,266427,5676435,15603,234881,285297,1047213,4303763,354817,47449,309424,2.2,46333,127,1917,2329,8548,35129,2896,387,2526,0.055,0.072,50806,0.415,52705,0.43,1630,0.013,17304,0.141,59630,0.487,120128,0.981,2033,0.017,352,0.003,120128,5620934,3813898,265255,170417,367605,762267,311650,-10182,23286,83262,
110,"Jul 01, 2008",2006,Morrow,3962,9937,148855,227,6774,7782,25534,116445,9403,1716,7740,2.5,37571,57,1710,1964,6445,29390,2373,433,1954,0.052,0.066,1296,0.327,2033,0.513,55,0.014,576,0.145,1730,0.437,3890,0.982,60,0.015,12,0.003,3890,147778,116385,4783,3081,7409,16833,6242,-1675,-2841,2439,
111,"Jul 01, 2008",2006,Multnomah,313093,571617,17488288,59932,685329,643615,3021636,13497998,1139974,112532,1031325,1.8,55857,191,2189,2056,9651,43112,3641,359,3294,0.059,0.076,169796,0.542,105476,0.337,4398,0.014,33313,0.106,153053,0.489,300785,0.961,10584,0.034,1724,0.006,300785,17201312,11519798,882548,689305,1760794,1438369,1092118,-5942,131472,307151,
112,"Jul 01, 2008",2006,Other,52999,102509,1517560,25531,45262,156999,282650,1338278,112239,12444,100076,1.9,28634,482,854,2962,5333,25251,2118,235,1888,0.066,0.075,25302,0.477,23394,0.441,1669,0.031,2617,0.049,24574,0.464,10375,0.196,15981,0.302,26643,0.503,10375,476838,270425,50373,8568,91952,41654,22951,-357,-1614,7114,
113,"Jul 01, 2008",2006,Other Washington,32991,72843,1100562,6526,36781,54542,179358,989045,82132,6128,76168,2.2,33360,198,1115,1653,5437,29979,2490,186,2309,0.069,0.077,12612,0.382,17327,0.525,521,0.016,2520,0.076,17763,0.538,2994,0.091,5335,0.162,24662,0.748,2994,121107,70313,8210,2617,18435,14226,8082,-148,1134,1761,
114,"Jul 01, 2008",2006,Polk,28967,62105,1435887,3490,60818,83877,276347,1043565,86376,10853,75854,2.1,49570,121,2100,2896,9540,36026,2982,375,2619,0.053,0.073,11350,0.392,14220,0.491,380,0.013,3006,0.104,15833,0.547,28299,0.977,581,0.02,87,0.003,28299,1422540,938521,68829,45151,89321,218695,71454,-5722,18390,22100,
115,"Jul 01, 2008",2006,Sherman,769,1528,29331,122,1404,1878,4908,21973,1791,256,1542,2,38142,159,1826,2442,6383,28573,2330,333,2005,0.053,0.07,332,0.432,360,0.468,12,0.016,65,0.085,308,0.401,751,0.977,15,0.02,3,0.004,751,29065,16042,1760,840,2423,4104,3614,1597,-173,1141,
116,"Jul 01, 2008",2006,Tillamook,11018,21593,470172,1818,20319,34700,97768,331365,27140,3715,23539,2,42673,165,1844,3149,8874,30075,2463,337,2136,0.05,0.071,4696,0.426,5231,0.475,143,0.013,944,0.086,5516,0.501,10750,0.976,210,0.019,58,0.005,10750,463555,257933,29516,23136,43690,90385,20415,-539,9438,10418,
